airline,confirmedDate,destination,forwarderCode,origin,status,tenant
XX,06.07.2019,CGK,FFF,LCK,CONFIRMED,XX
XX,06.07.2019,GIG,FFF,TRV,CONFIRMED,XX
XX,06.07.2019,OUA,FFF,KHI,CONFIRMED,XX
XX,06.07.2019,CPT,FFF,LCK,CONFIRMED,XX
XX,06.07.2019,VCE,FFF,RGN,CONFIRMED,XX
XX,06.07.2019,SEZ,FFF,MAA,CONFIRMED,XX
XX,06.07.2019,HAM,FFF,HRE,CONFIRMED,XX
XX,06.07.2019,LOS,FFF,BHX,CONFIRMED,XX
XX,06.07.2019,ALG,FFF,DUR,CONFIRMED,XX
XX,06.07.2019,DSS,FFF,JNB,CONFIRMED,XX
XX,06.07.2019,CMB,FFF,CJB,CONFIRMED,XX
XX,06.07.2019,EWR,FFF,MLE,CONFIRMED,XX
XX,06.07.2019,BCN,FFF,MAA,CONFIRMED,XX
XX,07.07.2019,STN,FFF,GOT,CONFIRMED,XX
XX,04.03.2020,PEN,FFF,CPT,CONFIRMED,XX
XX,10.01.2020,GRZ,FFF,LHR,CONFIRMED,XX
XX,06.07.2019,NCL,FFF,ATL,CONFIRMED,XX
XX,06.07.2019,MAN,FFF,DAR,CONFIRMED,XX
XX,06.07.2019,VIE,FFF,SIN,CONFIRMED,XX
XX,06.07.2019,LYS,FFF,BLL,CONFIRMED,XX
XX,06.07.2019,PEW,FFF,BNE,CONFIRMED,XX
XX,14.11.2019,BOM,FFF,CGP,CONFIRMED,XX
XX,06.07.2019,SEA,FFF,TRV,CONFIRMED,XX
XX,06.07.2019,HKT,FFF,KAN,CONFIRMED,XX
XX,22.07.2019,CMN,FFF,LLW,CONFIRMED,XX
XX,06.07.2019,LOS,FFF,DMM,CONFIRMED,XX
XX,06.07.2019,LAD,FFF,LHE,CONFIRMED,XX
XX,06.07.2019,WAW,FFF,CMB,CONFIRMED,XX
XX,06.07.2019,UIO,FFF,PRG,CONFIRMED,XX
XX,06.07.2019,AKL,FFF,PNH,CONFIRMED,XX
XX,06.07.2019,HEL,FFF,KIX,CONFIRMED,XX
XX,06.07.2019,BLL,FFF,NCE,CONFIRMED,XX
XX,23.01.2020,PER,FFF,DME,CONFIRMED,XX
XX,06.07.2019,ISB,FFF,CAI,CONFIRMED,XX
XX,06.07.2019,GIG,FFF,BEY,CONFIRMED,XX
XX,06.07.2019,SAW,FFF,JFK,CONFIRMED,XX
XX,06.07.2019,ACC,FFF,TPE,CONFIRMED,XX
XX,06.07.2019,TUN,FFF,LUN,CONFIRMED,XX
XX,06.07.2019,KAN,FFF,BOS,CONFIRMED,XX
XX,07.07.2019,LOS,FFF,GOT,CONFIRMED,XX
XX,06.07.2019,SEZ,FFF,MXP,CONFIRMED,XX
XX,06.07.2019,OPO,FFF,BKK,CONFIRMED,XX
XX,06.07.2019,EBB,FFF,HYD,CONFIRMED,XX
XX,06.07.2019,NBO,FFF,ABV,CONFIRMED,XX
XX,06.07.2019,CDG,FFF,LCK,CONFIRMED,XX
XX,22.09.2019,AMS,FFF,STN,CONFIRMED,XX
XX,06.07.2019,ZAZ,FFF,LED,CONFIRMED,XX
XX,06.07.2019,LCK,FFF,MEX,CONFIRMED,XX
XX,06.07.2019,MAN,FFF,MEX,CONFIRMED,XX
XX,06.07.2019,ABV,FFF,BLQ,CONFIRMED,XX
XX,06.07.2019,VCE,FFF,MEX,CONFIRMED,XX
XX,06.07.2019,GLA,FFF,PNH,CONFIRMED,XX
XX,06.07.2019,AUH,FFF,MEX,CONFIRMED,XX
XX,06.07.2019,HEL,FFF,PRG,CONFIRMED,XX
XX,14.11.2019,CGP,FFF,GLA,CONFIRMED,XX
XX,06.07.2019,CAN,FFF,ALG,CONFIRMED,XX
XX,06.07.2019,HKT,FFF,DUR,CONFIRMED,XX
XX,06.07.2019,BLR,FFF,SEA,CONFIRMED,XX
XX,06.07.2019,HKG,FFF,IKA,CONFIRMED,XX
XX,06.07.2019,CEB,FFF,DUR,CONFIRMED,XX
XX,06.07.2019,LAX,FFF,HRE,CONFIRMED,XX
XX,28.07.2019,EBB,FFF,FRA,CONFIRMED,XX
XX,10.01.2020,LNZ,FFF,PNH,CONFIRMED,XX
XX,06.07.2019,VCE,FFF,ACC,CONFIRMED,XX
XX,06.07.2019,MCT,FFF,SHJ,CONFIRMED,XX
