airline,confirmedDate,destination,forwarderCode,origin,status,tenant
XX,06.07.2019,CGK,GGG,LCK,CONFIRMED,XX
XX,06.07.2019,GIG,GGG,TRV,CONFIRMED,XX
XX,06.07.2019,OUA,GGG,KHI,CONFIRMED,XX
XX,06.07.2019,CPT,GGG,LCK,CONFIRMED,XX
XX,06.07.2019,VCE,GGG,RGN,CONFIRMED,XX
XX,06.07.2019,SEZ,GGG,MAA,CONFIRMED,XX
XX,06.07.2019,HAM,GGG,HRE,CONFIRMED,XX
XX,06.07.2019,LOS,GGG,BHX,CONFIRMED,XX
XX,06.07.2019,ALG,GGG,DUR,CONFIRMED,XX
XX,06.07.2019,DSS,GGG,JNB,CONFIRMED,XX
XX,06.07.2019,CMB,GGG,CJB,CONFIRMED,XX
XX,06.07.2019,EWR,GGG,MLE,CONFIRMED,XX
XX,06.07.2019,BCN,GGG,MAA,CONFIRMED,XX
XX,07.07.2019,STN,GGG,GOT,CONFIRMED,XX
XX,04.03.2020,PEN,GGG,CPT,CONFIRMED,XX
XX,10.01.2020,GRZ,GGG,LHR,CONFIRMED,XX
XX,06.07.2019,NCL,GGG,ATL,CONFIRMED,XX
XX,06.07.2019,MAN,GGG,DAR,CONFIRMED,XX
XX,06.07.2019,VIE,GGG,SIN,CONFIRMED,XX
XX,06.07.2019,LYS,GGG,BLL,CONFIRMED,XX
XX,06.07.2019,PEW,GGG,BNE,CONFIRMED,XX
XX,14.11.2019,BOM,GGG,CGP,CONFIRMED,XX
XX,06.07.2019,SEA,GGG,TRV,CONFIRMED,XX
XX,06.07.2019,HKT,GGG,KAN,CONFIRMED,XX
XX,22.07.2019,CMN,GGG,LLW,CONFIRMED,XX
XX,06.07.2019,LOS,GGG,DMM,CONFIRMED,XX
XX,06.07.2019,LAD,GGG,LHE,CONFIRMED,XX
XX,06.07.2019,WAW,GGG,CMB,CONFIRMED,XX
XX,06.07.2019,UIO,GGG,PRG,CONFIRMED,XX
XX,06.07.2019,AKL,GGG,PNH,CONFIRMED,XX
XX,06.07.2019,HEL,GGG,KIX,CONFIRMED,XX
XX,06.07.2019,BLL,GGG,NCE,CONFIRMED,XX
XX,23.01.2020,PER,GGG,DME,CONFIRMED,XX
XX,06.07.2019,ISB,GGG,CAI,CONFIRMED,XX
XX,06.07.2019,GIG,GGG,BEY,CONFIRMED,XX
XX,06.07.2019,SAW,GGG,JFK,CONFIRMED,XX
XX,06.07.2019,ACC,GGG,TPE,CONFIRMED,XX
XX,06.07.2019,TUN,GGG,LUN,CONFIRMED,XX
XX,06.07.2019,KAN,GGG,BOS,CONFIRMED,XX
XX,07.07.2019,LOS,GGG,GOT,CONFIRMED,XX
XX,06.07.2019,SEZ,GGG,MXP,CONFIRMED,XX
XX,06.07.2019,OPO,GGG,BKK,CONFIRMED,XX
XX,06.07.2019,EBB,GGG,HYD,CONFIRMED,XX
XX,06.07.2019,NBO,GGG,ABV,CONFIRMED,XX
XX,06.07.2019,CDG,GGG,LCK,CONFIRMED,XX
XX,22.09.2019,AMS,GGG,STN,CONFIRMED,XX
XX,06.07.2019,ZAZ,GGG,LED,CONFIRMED,XX
XX,06.07.2019,LCK,GGG,MEX,CONFIRMED,XX
XX,06.07.2019,MAN,GGG,MEX,CONFIRMED,XX
XX,06.07.2019,ABV,GGG,BLQ,CONFIRMED,XX
XX,06.07.2019,VCE,GGG,MEX,CONFIRMED,XX
XX,06.07.2019,GLA,GGG,PNH,CONFIRMED,XX
XX,06.07.2019,AUH,GGG,MEX,CONFIRMED,XX
XX,06.07.2019,HEL,GGG,PRG,CONFIRMED,XX
XX,14.11.2019,CGP,GGG,GLA,CONFIRMED,XX
XX,06.07.2019,CAN,GGG,ALG,CONFIRMED,XX
XX,06.07.2019,HKT,GGG,DUR,CONFIRMED,XX
XX,06.07.2019,BLR,GGG,SEA,CONFIRMED,XX
XX,06.07.2019,HKG,GGG,IKA,CONFIRMED,XX
XX,06.07.2019,CEB,GGG,DUR,CONFIRMED,XX
XX,06.07.2019,LAX,GGG,HRE,CONFIRMED,XX
XX,28.07.2019,EBB,GGG,FRA,CONFIRMED,XX
XX,10.01.2020,LNZ,GGG,PNH,CONFIRMED,XX
XX,06.07.2019,VCE,GGG,ACC,CONFIRMED,XX
XX,06.07.2019,MCT,GGG,SHJ,CONFIRMED,XX
XX,06.07.2019,KUL,GGG,ZAZ,CONFIRMED,XX
XX,06.07.2019,UIO,GGG,MEX,CONFIRMED,XX
XX,06.07.2019,BKK,GGG,MAA,CONFIRMED,XX
XX,06.07.2019,BEY,GGG,BRU,CONFIRMED,XX
XX,29.07.2019,MEL,GGG,KHI,CONFIRMED,XX
XX,06.07.2019,HAM,GGG,CAN,CONFIRMED,XX
XX,06.07.2019,TRV,GGG,CEB,CONFIRMED,XX
XX,06.07.2019,SFO,GGG,BLL,CONFIRMED,XX
XX,06.07.2019,HKG,GGG,MED,CONFIRMED,XX
XX,23.01.2020,IKA,GGG,DME,CONFIRMED,XX
XX,06.07.2019,NRT,GGG,MHD,CONFIRMED,XX
XX,06.07.2019,DUS,GGG,GRU,CONFIRMED,XX
XX,06.07.2019,OPO,GGG,EBL,CONFIRMED,XX
XX,06.07.2019,VIE,GGG,IKA,CONFIRMED,XX
XX,06.07.2019,SGN,GGG,TUN,CONFIRMED,XX
XX,06.07.2019,BUD,GGG,ZAZ,CONFIRMED,XX
XX,06.07.2019,SHJ,GGG,EBB,CONFIRMED,XX
XX,06.07.2019,COK,GGG,ZAZ,CONFIRMED,XX
XX,06.07.2019,SAW,GGG,KBP,CONFIRMED,XX
XX,06.07.2019,HND,GGG,PRG,CONFIRMED,XX
XX,25.10.2019,DXB,GGG,YYZ,CONFIRMED,XX
XX,06.07.2019,DAR,GGG,IKA,CONFIRMED,XX
XX,06.07.2019,TPE,GGG,CDG,CONFIRMED,XX
XX,30.10.2019,ORD,GGG,PEW,CONFIRMED,XX
XX,04.03.2020,MST,GGG,PEN,CONFIRMED,XX
XX,16.03.2020,MEL,GGG,MAD,CONFIRMED,XX
XX,06.07.2019,KUL,GGG,ATL,CONFIRMED,XX
XX,06.07.2019,HRE,GGG,GIG,CONFIRMED,XX
XX,06.07.2019,CCJ,GGG,ATH,CONFIRMED,XX
XX,06.07.2019,MRU,GGG,KHI,CONFIRMED,XX
XX,25.10.2019,DEL,GGG,YYZ,CONFIRMED,XX
XX,06.07.2019,VCP,GGG,DXB,CONFIRMED,XX
XX,06.07.2019,OPO,GGG,STN,CONFIRMED,XX
XX,06.07.2019,CGK,GGG,OPO,CONFIRMED,XX
XX,06.07.2019,EBL,GGG,VCE,CONFIRMED,XX
XX,06.07.2019,CMB,GGG,TUN,CONFIRMED,XX
XX,06.07.2019,ABJ,GGG,PNH,CONFIRMED,XX
XX,06.07.2019,CGO,GGG,DEL,CONFIRMED,XX
XX,06.07.2019,LCK,GGG,LUN,CONFIRMED,XX
XX,12.12.2019,RUH,GGG,AGT,CONFIRMED,XX
XX,06.07.2019,NRT,GGG,HEL,CONFIRMED,XX
XX,06.07.2019,LED,GGG,GVA,CONFIRMED,XX
XX,22.09.2019,AMS,GGG,ATL,CONFIRMED,XX
XX,06.07.2019,LLW,GGG,LCA,CONFIRMED,XX
XX,14.11.2019,KRT,GGG,SFO,CONFIRMED,XX
XX,06.07.2019,EBL,GGG,DMM,CONFIRMED,XX
XX,06.07.2019,PNH,GGG,JNB,CONFIRMED,XX
XX,06.07.2019,HKT,GGG,SHJ,CONFIRMED,XX
XX,06.07.2019,SGN,GGG,PRG,CONFIRMED,XX
XX,06.07.2019,LIS,GGG,BKK,CONFIRMED,XX
XX,06.07.2019,LOS,GGG,ICN,CONFIRMED,XX
XX,06.07.2019,TUN,GGG,GIG,CONFIRMED,XX
XX,16.03.2020,MAD,GGG,INC,CONFIRMED,XX
XX,06.07.2019,KUL,GGG,NCE,CONFIRMED,XX
XX,06.07.2019,DAR,GGG,AMM,CONFIRMED,XX
XX,22.07.2019,STN,GGG,CMN,CONFIRMED,XX
XX,06.07.2019,HKT,GGG,MHD,CONFIRMED,XX
XX,25.10.2019,JFK,GGG,OUA,CONFIRMED,XX
XX,06.07.2019,GRU,GGG,HRE,CONFIRMED,XX
XX,06.07.2019,PVG,GGG,HEL,CONFIRMED,XX
XX,06.07.2019,ADD,GGG,CEB,CONFIRMED,XX
XX,06.07.2019,HEL,GGG,VCP,CONFIRMED,XX
XX,06.07.2019,BOM,GGG,JFK,CONFIRMED,XX
XX,06.03.2020,BAH,GGG,LIS,CONFIRMED,XX
XX,25.02.2020,BLL,GGG,SZG,CONFIRMED,XX
XX,06.07.2019,MAA,GGG,MRU,CONFIRMED,XX
XX,06.07.2019,DOH,GGG,COK,CONFIRMED,XX
XX,06.07.2019,BSR,GGG,MNL,CONFIRMED,XX
XX,06.07.2019,MUC,GGG,CKY,CONFIRMED,XX
XX,06.07.2019,AKL,GGG,MAN,CONFIRMED,XX
XX,06.07.2019,COK,GGG,BEY,CONFIRMED,XX
XX,06.07.2019,SCL,GGG,KIX,CONFIRMED,XX
XX,06.07.2019,ALG,GGG,HKG,CONFIRMED,XX
XX,06.07.2019,ICN,GGG,LYS,CONFIRMED,XX
XX,06.07.2019,KAN,GGG,HEL,CONFIRMED,XX
XX,25.02.2020,SZG,GGG,KIX,CONFIRMED,XX
XX,22.07.2019,CHC,GGG,CMN,CONFIRMED,XX
XX,06.07.2019,HEL,GGG,LOS,CONFIRMED,XX
XX,10.01.2020,DSS,GGG,LNZ,CONFIRMED,XX
XX,06.07.2019,HYD,GGG,KHI,CONFIRMED,XX
XX,06.07.2019,EBB,GGG,LCK,CONFIRMED,XX
XX,06.07.2019,HKG,GGG,AGT,CONFIRMED,XX
XX,06.07.2019,LCA,GGG,DEL,CONFIRMED,XX
XX,06.07.2019,AGT,GGG,LHR,CONFIRMED,XX
XX,06.07.2019,OPO,GGG,CJB,CONFIRMED,XX
XX,06.07.2019,SGN,GGG,KUL,CONFIRMED,XX
XX,06.07.2019,CHC,GGG,IKA,CONFIRMED,XX
XX,06.07.2019,DUS,GGG,ATL,CONFIRMED,XX
XX,06.07.2019,GRU,GGG,PER,CONFIRMED,XX
XX,29.07.2019,PNH,GGG,MEL,CONFIRMED,XX
XX,16.01.2020,ZRH,GGG,ABV,CONFIRMED,XX
XX,04.03.2020,AMM,GGG,PEN,CONFIRMED,XX
XX,06.07.2019,JED,GGG,CCU,CONFIRMED,XX
XX,07.07.2019,GOT,GGG,ZAZ,CONFIRMED,XX
XX,06.07.2019,LGW,GGG,BSL,CONFIRMED,XX
XX,25.10.2019,BKK,GGG,DUB,CONFIRMED,XX
XX,06.07.2019,IKA,GGG,AMM,CONFIRMED,XX
XX,06.07.2019,MLA,GGG,AUH,CONFIRMED,XX
XX,06.07.2019,VCE,GGG,PXX,CONFIRMED,XX
XX,06.07.2019,VCE,GGG,IST,CONFIRMED,XX
XX,06.07.2019,GIG,GGG,COK,CONFIRMED,XX
XX,06.07.2019,STN,GGG,ABJ,CONFIRMED,XX
XX,04.03.2020,PXX,GGG,PEN,CONFIRMED,XX
XX,06.07.2019,HEL,GGG,DUS,CONFIRMED,XX
XX,06.07.2019,CCJ,GGG,DXB,CONFIRMED,XX
XX,20.03.2020,DFW,GGG,DWC,CONFIRMED,XX
XX,06.07.2019,MLA,GGG,KWI,CONFIRMED,XX
XX,06.07.2019,LAX,GGG,INC,CONFIRMED,XX
XX,06.07.2019,CGO,GGG,CRK,CONFIRMED,XX
XX,06.07.2019,MHD,GGG,ATL,CONFIRMED,XX
XX,06.07.2019,AUH,GGG,KAN,CONFIRMED,XX
XX,06.07.2019,GVA,GGG,CAI,CONFIRMED,XX
XX,06.07.2019,CAI,GGG,NRT,CONFIRMED,XX
XX,06.07.2019,IAD,GGG,ADL,CONFIRMED,XX
XX,06.07.2019,BUD,GGG,BEY,CONFIRMED,XX
XX,22.09.2019,AMS,GGG,HKT,CONFIRMED,XX
XX,14.11.2019,CAI,GGG,CPH,CONFIRMED,XX
XX,30.10.2019,ORD,GGG,BUD,CONFIRMED,XX
XX,22.09.2019,AMS,GGG,RGN,CONFIRMED,XX
XX,06.07.2019,BOM,GGG,ARN,CONFIRMED,XX
XX,25.02.2020,ATH,GGG,SZG,CONFIRMED,XX
